安徽工业大学	Anhui University of Technology
安徽农业大学	Anhui Agricultural University
安徽师范大学	Anhui Normal University
安徽医科大学	Anhui Medical University
北京大学	Peking University
北京大学深圳研究生院	Peking University
北京工业大学	Beijing University of Technology
北京航空航天大学	Beihang University
北京化工大学	Beijing University of Chemical Technology
北京交通大学	Beijing Jiaotong University
北京科技大学	University of Science and Technology Beijing
北京理工大学	Beijing Institute of Technology
北京联合大学	Beijing Union University
北京师范大学	Beijing Normal University
北京邮电大学	Beijing University of Posts and Telecommunications
北京中医药大学	Beijing University of Chinese Medicine
成都理工大学	Chengdu University of Technology
成都信息工程大学	Nanjing University of Information Science and Technology
大连理工大学	Dalian University of Technology
大连医科大学	Dalian Medical University
电子科技大学	University of Electronic Science and Technology of China
东北财经大学	Dongbei University of Finance and Economics
东北大学	Northeastern University
东北师范大学	Northeast Normal University
东莞理工学院	Dongguan University of Technology
东华大学	Donghua University
东南大学	Southeast University
福建农林大学	Fujian Agriculture and Forestry University
福建医科大学	Fujian Medical University
福州大学	Fuzhou University
阜阳师范大学	Fuyang Teachers College
复旦大学	Fudan University
广东工业大学	Guangdong University of Technology
广西大学	Guangxi University
广西师范大学	Guangxi Normal University
广西医科大学	Guangxi Medical University
广州大学	Guangzhou University
广州医科大学	Guangzhou Medical University
贵州大学	Guizhou University
贵州师范大学	Guizhou Normal University
桂林理工大学	Chinese Academy of Sciences
国家纳米科学中心	Chinese Academy of Sciences
国科大杭州高等研究院	Chinese Academy of Sciences
哈尔滨工业大学	Harbin Institute of Technology
哈尔滨医科大学	Harbin Medical University
海南大学	Hainan University
海南医学院	Hainan Medical University
杭州电子科技大学	Hangzhou Dianzi University
杭州师范大学	Hangzhou Normal University
合肥工业大学	Hefei University of Technology
河北大学	Hebei University
河北师范大学	Hebei Normal University
河北医科大学	Hebei Medical University
河海大学	Hohai University
河南大学	Henan University
黑龙江大学	Heilongjiang University
湖北大学	Hubei University
湖南大学	Hunan University
湖南农业大学	Hunan Agricultural University
湖南师范大学	Hunan Normal University
华北电力大学	North China Electric Power University
华北电力大学（保定）	North China Electric Power University
华东理工大学	East China University of Science and Technology
华东师范大学	East China Normal University
华南理工大学	South China University of Technology
华南农业大学	South China Agricultural University
华南师范大学	South China Normal University
华侨大学	Huaqiao University
华中科技大学	Huazhong University of Science and Technology
华中农业大学	Huazhong Agricultural University
华中师范大学	Central China Normal University
吉林大学	Jilin University
暨南大学	Jinan University
江苏大学	Jiangsu University
江西理工大学	Jiangxi University of Science and Technology
江西师范大学	Jiangxi Normal University
昆明理工大学	Kunming University of Science and Technology
兰州大学	Lanzhou University
南昌大学	Nanchang University
南方科技大学	Southern University and A&M College
南方医科大学	Southern Medical University
南华大学	University of South China
南京财经大学	Nanjing University of Finance and Economics
南京大学	Nanjing University
南京工业大学	Nanjing University of Technology
南京航空航天大学	Nanjing University of Aeronautics and Astronautics
南京理工大学	Nanjing University of Science and Technology
南京农业大学	Nanjing Agricultural University
南京师范大学	Nanjing Normal University
南京信息工程大学	Nanjing University of Information Science and Technology
南京医科大学	Nanjing Medical University
中国空气动力研究与发展中心	China Aerodynamics Research and Development Center
西安交通大学	Xi'an Jiaotong University
中国科学技术大学	University of Science and Technology of China
首都师范大学	Capital Normal University
中国地质大学（北京）	China University of Geosciences
南京邮电大学	Nanjing University of Posts and Telecommunications
中国科学院长春应用化学研究所	Chinese Academy of Sciences
南开大学	Nankai University
中国科学院地质与地球物理研究所	Chinese Academy of Sciences
中国科学院青岛生物能源与过程研究所	Chinese Academy of Sciences
中国科学院自动化研究所	Chinese Academy of Sciences
中国科学院兰州化学物理研究所	Chinese Academy of Sciences
中南大学	Central South University
山东大学	Shandong University
中国科学院遗传与发育生物学研究所	Chinese Academy of Sciences
中国科学院合肥物质科学研究院	Chinese Academy of Sciences
四川大学	Sichuan University
宁波大学	Ningbo Universit
青岛大学	Qingdao University
青海大学	Qinghai University
清华大学	Tsinghua University
厦门大学	Xiamen University
西安电子科技大学	Xidian University
中国科学院动物研究所	Chinese Academy of Sciences
首都医科大学	Capital Medical University
中国科学院生物物理研究所	Chinese Academy of Sciences
浙江大学	Zhejiang University
中国科学院生态环境研究中心	Chinese Academy of Sciences
中国工程物理研究院核物理与化学研究所	China Academy of Engineering Physics
中国科学院西北生态环境资源研究院	Chinese Academy of Sciences
中国科学院国家授时中心	Chinese Academy of Sciences
中国科学院上海有机化学研究所	Chinese Academy of Sciences
中国科学院分子细胞科学卓越创新中心	Chinese Academy of Sciences
中国科学院过程工程研究所	Chinese Academy of Sciences
中国科学院化学研究所	Chinese Academy of Sciences
上海大学	Shanghai University
山东科技大学	Shandong University of Science and Technology
山东农业大学	Shandong Agricultural University
武汉大学	Wuhan University
山东师范大学	Shandong Normal University
中国科学院高能物理研究所	Chinese Academy of Sciences
山西大学	Shanxi University
